aids,canonicalsmiles
1,1-2H3
0,"InChI=1S/C17H10F4N2O2/c1-7(24)14-16(25)10-4-9(19)6-12(21)15(10)23-17(14)22-13-3-2-8(18)5-11(13)20/h2-6H
1,1-2H3
0,3-5H2
1,1H3
1,1H3
0,"InChI=1S/C18H11Cl2F2NO3/c1-8(24)15-17(25)11-5-10(21)6-14(22)16(11)23-18(15)26-7-9-2-3-12(19)13(20)4-9/h2-6H
0,3
0,1-3H3
0,8H2
0,25)26)16(11)28-19(15)27-14-4-3-10(22)7-13(14)23/h3-8H
0,4
1,1H3
1,2-5H2
0,3
0,"InChI=1S/C18H12F4N2O2/c1-8(25)15-17(26)12-4-11(20)6-14(22)16(12)24-18(15)23-7-9-2-3-10(19)5-13(9)21/h2-6H
1,2-6H2
0,4
0,7
0,23)24)15(10)26-17(14)25-13-3-2-9(20)6-12(13)21/h2-6H
0,(H2
0,9H2
1,1H3
0,1-2H3
0,4
394.284,5
392.269,5
0,4
4,29
425.29,7
7,5
341.222,6
7,8
410.279,6
0,5
0,5
0,5
7,6
428.269,5
352.238,4
1,9
7,6
0,5
0,5
0,5
0,5
7,6
0,5
7,30
406.284,6
6,6
0,6
7,6
7,6
0,4
0,5
7,7
1,4
1'-(benzene-1,4-Phenylenebis(methylene)]bis-1
QDRYPHNMWBQUIU-SFTDATJTSA-N,48.400
0,5
7,4
0,5
QDRYPHNMWBQUIU-RTWAWAEBSA-N,48.400
0,5
4-dioxocyclobuten-1-yl]amino]benzamide",4-dioxocyclobut-1-enylamino}benzamide"
1,"InChI=1S/C21H36N8O6/c1-12(22)19(33)29-10-4-6-14(29)17(31)26-11-16(30)28-9-3-7-15(28)18(32)27-13(20(34)35)5-2-8-25-21(23)24/h12-15H
0,30.200
2D+3D,20H
3-c][1,1
0,0
1-dioxo-1,0.000
4]benzoxazin-3-yl]methyl]cyclobutanecarboxamide",1
3]oxazolo[4,1
353.121,1
0,1
4]benzoxazin-3-yl]methyl]carbamate",1
4]benzoxazin-3-yl]methyl]cyclopropanecarboxamide",1
417.083,1
4]benzoxazin-3-yl]methyl]pyridine-4-carboxamide",1
3]oxazolo[4,27
0,0
4-dihydro-3H-[1,1
4]benzoxazin-3-yl]methyl]cyclobutanecarboxamide",1
0,1
4]benzoxazin-3-yl]methyl]cyclopropanecarboxamide",1
4]benzoxazin-3-yl]methyl]acetamide",1
4]benzoxazin-3-yl]methyl]acetamide",1
CC(=O)NC[C@H]1[C@@H]2COC3=C(N2C(=O)O1)C=C(C(=C3)N4CCC(CC4)(F)F)F,4]benzoxazin-3-yl]methyl]acetamide"
3]oxazolo[4,1
2-oxazol-3-ylamino)methyl]-7-(3-thia-8-azabicyclo[3.2.1]octan-8-yl)-3a,30
4-dihydro-3H-[1,1
3]oxazolo[4,1
4]benzoxazin-3-yl]methyl]acetamide",1
3]oxazolo[4,1
377.139,1
0,0
0,1
417.127,0
4-dihydro-3H-[1,1
2-oxazol-3-ylamino)methyl]-7-thiomorpholin-4-yl-3a,28
FNDDDNOJWPQCBZ-ZDUSSCGKSA-N, N-[[(5S)-3-[3-fluoro-4-(thiomorpholinyl)-phenyl]-2-oxo--5-oxazolidinyl]methyl]-"
4]benzoxazin-3-yl]methyl]acetamide",1
0,0
3-c][1,1
0,0
4]benzoxazin-3-yl]methyl]pyrazine-2-carboxamide",1
0,1
0,5
0,5
0,4
0,4
0,4
0,4
0,5
0,"InChI=1S/C21H19F3N2O6S/c1-12(2)19(28)18-20(29)15-8-3-4-9-16(15)33(30
0,3
0,6
0,5
0,5
0,5
0,4
0,5
0,5
1,5
0,"InChI=1S/C21H19F3N2O5S/c1-12(2)19(28)18-20(29)15-5-3-4-6-16(15)32(30
2-benzothiazin-2-yl]acetamide",4
0,4
0,4.300
0,5
0,4
0,4
0,4
0,4
0,5
0,4
0,4
0,5
1,4
0,5
1,4
0,4
0,0
0,"InChI=1S/C17H21ClN6O/c1-12-10-19-7-8-23(12)17(25)6-4-14-3-5-16(18)9-15(14)11-24-21-13(2)20-22-24/h3-6
0,19H
1,21)22/h2-5
1, 99%|WLN: QV1U1R|(E)-3-phenyl-acrylic acid|3-phenyl-2E-propenoic acid|CINNAMIC ACID [FCC]|Zimtsaeure | trans-Cinnamate|(E)-3-phenylprop-2-enoate|CINNAMIC ACID [FHFI]|CINNAMIC ACID [INCI]|trans-3-Phenyl-2-propenoate|BIDD:ER0586|tert-.beta.-Phenylacrylic acid|trans-Cinnamic acid
0,33
10,"InChI=1S/C21H25ClN8O/c1-16-24-26-30(25-16)15-19-11-20(22)5-3-18(19)4-6-21(31)29-9-7-28(8-10-29)14-17-12-23-27(2)13-17/h3-6
2D,10-13
0,0
2D,10-13
1,"InChI=1S/C25H26ClFN4O2/c1-17-15-30(16-19-3-8-23(27)9-4-19)11-12-31(17)25(32)10-6-20-5-7-22(26)13-21(20)14-24-28-18(2)29-33-24/h3-10
0,10
0,"InChI=1S/C21H24ClN7O2/c1-15-24-26-29(25-15)12-18-11-19(22)5-3-17(18)4-6-21(30)28-9-7-27(8-10-28)13-20-14-31-16(2)23-20/h3-6
0,"InChI=1S/C9H8O2.K/c10-9(11)7-6-8-4-2-1-3-5-8;/h1-7H
0,9-10H
0,0
0,0
0,5
0,0
0,16-17H
0,10
0,"InChI=1S/C22H25ClN6O2/c1-15-13-24-21(31-15)11-17-7-9-28(10-8-17)22(30)6-4-18-3-5-20(23)12-19(18)14-29-26-16(2)25-27-29/h3-6
1,13
NULL,11-14
1,13-14H
1,"InChI=1S/C21H24ClN7O2/c1-15-11-20(31-25-15)14-27-7-9-28(10-8-27)21(30)6-4-17-3-5-19(22)12-18(17)13-29-24-16(2)23-26-29/h3-6
0,0
1,2.100
417.255,4
5-tetrahydro-3-benzazepin-3-yl]ethyl]cyclohexyl]-1,2
391.239,2
CC1CN(CCC2=C1C=C(C=C2)Cl)CCC3CCC(CC3)N4C(=O)C5CCCCC5C4=O,C27H37ClN2O2
26+/m0/s1",737.000
26+/m0/s1",776.000
5-tetrahydro-3-benzazepin-3-yl]ethyl]cyclohexyl]cyclohexanecarboxamide",5
5-tetrahydro-3-benzazepin-3-yl]ethyl]cyclohexyl]furan-2-carboxamide",5
5-tetrahydro-3-benzazepin-3-yl]ethyl]cyclohexyl]-1,2
390.244,6
4,5
5-tetrahydro-3-benzazepin-3-yl]ethyl]cyclohexyl]-1-methyl-1-phenylurea",5
5-tetrahydro-3-benzazepin-3-yl]ethyl]cyclohexyl]-1,2
5-tetrahydro-3-benzazepin-3-yl]ethyl]cyclohexyl]cyclopropanecarboxamide",5
433.25,4
2,5
402.207,3
405.255,5
470.27,3
450.207,3
4,5
3A,3
1,"InChI=1S/C24H22N4O4.ClH/c1-31-21-11-8-17(13-19(21)15-6-9-18(29)10-7-15)24-27-23(28-32-24)16-4-2-14(3-5-16)12-20(25)22(26)30;/h2-11
0,7
1,"InChI=1S/C25H23N3O5.ClH/c1-31-19-10-7-16(8-11-19)20-14-18(9-12-22(20)32-2)24-27-23(28-33-24)17-5-3-15(4-6-17)13-21(26)25(29)30;/h3-12
0,"InChI=1S/C26H25N3O5.ClH/c1-3-33-26(31)22(27)14-16-4-6-18(7-5-16)24-28-25(34-29-24)19-10-13-23(32-2)21(15-19)17-8-11-20(30)12-9-17;/h4-13
1,"InChI=1S/C24H21N3O5.ClH/c1-31-21-11-8-17(13-19(21)15-6-9-18(28)10-7-15)23-26-22(27-32-23)16-4-2-14(3-5-16)12-20(25)24(29)30;/h2-11
1,"InChI=1S/C24H21N3O5.ClH/c1-31-21-11-10-16(13-18(21)17-4-2-3-5-20(17)28)23-26-22(27-32-23)15-8-6-14(7-9-15)12-19(25)24(29)30;/h2-11
C1=CC(=CC(=C1)F)C2=CC=C(C=C2)C(C(F)(F)F)OC3=NC(=NC(=C3)C4=CC=C(C=C4)C[C@@H](C(=O)O)N)N,124.000
582.116,"InChI=1S/C25H22ClF3N6O3.ClH/c1-13-8-9-35(34-13)20-11-16(26)6-7-17(20)22(25(27
1,"InChI=1S/C20H20N2O4S.ClH/c1-25-16-8-7-14(10-17(16)26-2)18-11-22-19(27-18)13-5-3-12(4-6-13)9-15(21)20(23)24;/h3-8
0,"InChI=1S/C17H14FN3O3.ClH/c18-13-7-5-12(6-8-13)16-20-15(21-24-16)11-3-1-10(2-4-11)9-14(19)17(22)23;/h1-8
0,11
1,"InChI=1S/C24H21N3O5.ClH/c1-31-21-10-9-17(13-19(21)16-3-2-4-18(28)12-16)23-26-22(27-32-23)15-7-5-14(6-8-15)11-20(25)24(29)30;/h2-10
0,"InChI=1S/C17H15N3O4.ClH/c18-14(17(22)23)9-10-1-3-11(4-2-10)15-19-16(24-20-15)12-5-7-13(21)8-6-12;/h1-8
0,"InChI=1S/C18H17N3O4.ClH/c1-24-14-8-6-13(7-9-14)17-21-20-16(25-17)12-4-2-11(3-5-12)10-15(19)18(22)23;/h2-9
0,"InChI=1S/C19H19N3O4.ClH/c1-25-15-8-4-13(5-9-15)11-17-21-18(22-26-17)14-6-2-12(3-7-14)10-16(20)19(23)24;/h2-9
0,7
0,3
1,"InChI=1S/C18H17N3O4.ClH/c1-24-14-4-2-3-13(10-14)17-20-16(21-25-17)12-7-5-11(6-8-12)9-15(19)18(22)23;/h2-8
0,"InChI=1S/C17H15N3O3.ClH/c18-14(17(21)22)10-11-6-8-12(9-7-11)15-19-16(23-20-15)13-4-2-1-3-5-13;/h1-9
1,"InChI=1S/C19H19N3O4.ClH/c1-2-25-15-9-7-14(8-10-15)18-21-17(22-26-18)13-5-3-12(4-6-13)11-16(20)19(23)24;/h3-10
0,"InChI=1S/C18H17N3O3S.ClH/c1-24-14-8-6-13(7-9-14)17-20-16(21-25-17)12-4-2-11(3-5-12)10-15(19)18(22)23;/h2-9
0,16H
0,3
1-2H3, ETHYL ESTER|telotristat-ethyl|Xermelo (TN)|SCHEMBL610588|TELOTRISTAT ETHYL [MI]|GTPL9490|CHEMBL2105695|EX-A322|BDBM445704|DTXSID001102271|TELOTRISTAT ETHYL [WHO-DD]|AMY38688|HY-13055A|LX1606LX1606|MFCD18251583|AKOS030230308|BCP9000866|DB12095|US10683309
0,"InChI=1S/C18H17N3O4.ClH/c1-24-14-8-6-13(7-9-14)17-20-16(21-25-17)12-4-2-11(3-5-12)10-15(19)18(22)23;/h2-9
1,"InChI=1S/C24H21N3O5.ClH/c1-31-18-10-11-19(20(13-18)15-6-8-17(28)9-7-15)23-26-22(27-32-23)16-4-2-14(3-5-16)12-21(25)24(29)30;/h2-11
0,7
1,"InChI=1S/C24H21N3O4.ClH/c1-30-21-12-11-18(14-19(21)16-5-3-2-4-6-16)23-26-22(27-31-23)17-9-7-15(8-10-17)13-20(25)24(28)29;/h2-12
0,8
0,4
0,5
0,8
0,5
0,5
0,5
510.286,8
2,(H
0,5
1,"InChI=1S/C28H32N8O/c1-37-19-18-34-14-16-35(17-15-34)23-8-6-22(7-9-23)31-28-30-12-10-24(32-28)26-25-5-3-13-36(25)33-27(26)21-4-2-11-29-20-21/h2
0,8
0,8
0,5
0,20H
0,"InChI=1S/C14H7Cl4N3O/c15-6-3-7(16)5-8(4-6)19-14-20-12-9(13(22)21-14)1-2-10(17)11(12)18/h1-5H
0,19-20H
1,1-3
0,17
0,19)20)1-2-11(12)13(24)23-14/h1-6H
0,17
0,20H
0,"InChI=1S/C14H7Cl4N3O/c15-6-3-7(16)5-8(4-6)19-14-20-12-10(18)2-1-9(17)11(12)13(22)21-14/h1-5H
0,(H2
0,"InChI=1S/C14H7Cl2F2N3O/c15-10-2-1-9-12(11(10)16)20-14(21-13(9)22)19-8-4-6(17)3-7(18)5-8/h1-5H
0,(H2
1,(H2
0,17H2
0,(H2
0,1H3
1,"InChI=1S/C15H9ClN4O/c16-10-4-5-12-13(7-10)19-15(20-14(12)21)18-11-3-1-2-9(6-11)8-17/h1-7H
0,"InChI=1S/C14H7Cl2F2N3O/c15-9-1-2-10(16)12-11(9)13(22)21-14(20-12)19-8-4-6(17)3-7(18)5-8/h1-5H
0,1-5
0,17
1,(H2
0,20H
0,20H
0,(H2
0,20H
0,"InChI=1S/C14H7ClF3N3O/c15-6-1-2-7-10(5-6)20-14(21-13(7)22)19-9-4-3-8(16)11(17)12(9)18/h1-5H
0,"InChI=1S/C16H13Cl2N3O/c1-8-3-9(2)14-13(4-8)15(22)21-16(20-14)19-12-6-10(17)5-11(18)7-12/h3-7H
0,19)20)1-2-11(12)13(24)23-14/h1-6H
0,17H2
0,"InChI=1S/C16H13F2N3O/c1-8-3-9(2)14-13(4-8)15(22)21-16(20-14)19-12-6-10(17)5-11(18)7-12/h3-7H
0,(H2
1,(H2
0,2-3
0,1H3
1,(H2
1,(H2
1,(H2
0,20H
0,7-10H
364.117,1
0,1
3]benzoxazin-3-yl]methyl]acetamide",1
357.996,1
0,1
439.14,1
397.13,1
357.996,1
1,7
1,1
0,1
382.108,1
382.108,1
382.108,1
1,1
365.139,1
365.139,1
0,1
3-dimethyl-7-oxo-,5R
20-,C24H32O4
7]indeno[1,15.beta.-epoxy-3.beta.-hydroxy-|14
15b)-|5-beta-BUFA-20,16]octadecan-6-yl]pyran-2-one|Bufogenina [Spanish]|Resi (VAN)|Bufogenin [INN:JAN]|RBG|Bufogenine [INN-French]|Bufogeninum [INN-Latin]|Bufogenina [INN-Spanish]|14
7-tetrahydroxy-3-methoxy-|MS-24652|PD150612|SMR000440662|CS-0017729|FT-0672191|3'',7-dihydroxy-3-methoxy-|3-methoxyluteolin|NSC-154016|CHEBI:16860|3-Methoxy-5
 3'-O-|DTXSID10197379|MFCD00017310|iso-rhamnetin|ISORHAMNETIN (USP-RS)|ISORHAMNETIN [USP-RS]|3'-O-Methyl Quercetin|3,7-tetrahydroxy-|BRN 0044723|07X3IB4R4Z|CHEBI:6052|3
1,22-23H
1,10-14
4-TRIAZOL-3-ONE|Ganetespib,5-dihydro-1H-1
2D+3D,23-24H
1,20
1,20-21H
1,"InChI=1S/C21H24N2O3/c1-12(2)16-10-17(20(25)11-19(16)24)21(26)23(13(3)4)15-5-6-18-14(9-15)7-8-22-18/h5-13
1,20-21H
0,2
1,9-12
(H,C32H33ClFN5O11
1,24-25H
1,18-19H
0,18-19H
28,E)-N-(4-(3-chloro-4-fluorophenylamino)-7-(tetrahydrofuran-3-yloxy)quinazolin-6-yl)-4-(dimethylamino)but-2-enamide|(S)-N-(4-(3-chloro-4-fluorophenylamino)-7-(tetrahydrofuran-3-yloxy)quinazolin-6-yl)-4-(dimethylamino)but-2-enamide|N-{4-[(3-chloro-4-fluorophenyl)amino]-7-[(3S)-oxolan-3-yloxy]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide"
1,10-12
9,21
0,19
3,"InChI=1S/C18H22N2O3/c1-11(2)14-9-15(17(22)10-16(14)21)18(23)20(12(3)4)13-5-7-19-8-6-13/h5-12
15H2,2-OXAZOLE-3-CARBOXAMIDE|5-(2
0,10-13
CC1=CN=C(C(=C1OC)C)CN2C=NC3=C2N=C(N=C3Cl)N, Free Base|MLS006011080|GTPL9258|SCHEMBL1791028|BIIB 021 [WHO-DD]|BIIB021
3,"InChI=1S/C18H22N2O3/c1-11(2)14-8-15(17(22)9-16(14)21)18(23)20(12(3)4)13-6-5-7-19-10-13/h5-12
 98%|NSC1571|4e49|NINDS_000041|HMS1920P06|HMS2092G07|Pharmakon1600-01500527|1, 8CI|benzen-1
7,14-17
NULL,1-5H3"
0,4)28/h5-17
7,14-17
1,"InChI=1S/C24H25N3O2/c1-16(2)28-20-9-5-18(6-10-20)22-13-24-23(14-25-22)26-15-27(24)19-7-11-21(12-8-19)29-17(3)4/h5-17H
0,4)28/h5-17
2D+3D,5)6/h7-18H
NULL,1-4H3"
3,"InChI=1S/C24H25N3O2/c1-16(2)28-21-9-5-18(6-10-21)20-13-25-24-26-14-23(27(24)15-20)19-7-11-22(12-8-19)29-17(3)4/h5-17H
NULL,1-3H3"
4,"InChI=1S/C26H28N2O2/c1-17(2)29-22-10-6-20(7-11-22)24-14-15-26-27-16-25(28(26)19(24)5)21-8-12-23(13-9-21)30-18(3)4/h6-18H
4,"InChI=1S/C26H28N2O2/c1-17(2)29-22-10-6-20(7-11-22)24-16-28-25(15-27-26(28)14-19(24)5)21-8-12-23(13-9-21)30-18(3)4/h6-18H
7,15-17H
NULL,1-4H3"
NULL,1-4H3"
3,"InChI=1S/C26H25N3O2/c1-17(2)30-22-9-5-19(6-10-22)24-16-29-25(15-28-26(29)13-21(24)14-27)20-7-11-23(12-8-20)31-18(3)4/h5-13
4,"InChI=1S/C23H20F2N2O2/c1-15(2)28-19-10-5-17(6-11-19)21-13-26-22-12-7-18(14-27(21)22)16-3-8-20(9-4-16)29-23(24)25/h3-15
NULL,1-4H3"
4,"InChI=1S/C26H28N2O3/c1-17(2)30-21-10-6-19(7-11-21)23-16-28-24(15-27-26(28)14-25(23)29-5)20-8-12-22(13-9-20)31-18(3)4/h6-18H
2D,3)4/h7-17
NULL,1-4H3"
0,4
1,"InChI=1S/C24H25N3O2/c1-16(2)28-20-9-5-18(6-10-20)22-15-27-23(13-26-24(27)14-25-22)19-7-11-21(12-8-19)29-17(3)4/h5-17H
2D+3D,25H
2D+3D,4)5/h6-18H
NULL,1-4H3"
5,1-2H3
2D+3D,4)5/h6-18H
1,"InChI=1S/C24H25N3O2/c1-16(2)28-20-9-5-18(6-10-20)22-13-14-23-24(26-22)27(15-25-23)19-7-11-21(12-8-19)29-17(3)4/h5-17H
NULL,1-5H3"
2D+3D,27H
4,"InChI=1S/C25H26N2O2/c1-17(2)28-22-10-5-19(6-11-22)21-9-14-25-26-15-24(27(25)16-21)20-7-12-23(13-8-20)29-18(3)4/h5-18H
NULL,1-4H3"
2,"InChI=1S/C24H25N3O2/c1-16(2)28-20-9-5-18(6-10-20)22-13-14-24-25-15-23(27(24)26-22)19-7-11-21(12-8-19)29-17(3)4/h5-17H
4,19-21H
3,1-4H3
NULL,1-5H3"
NULL,1-4H3"
4,8-15
2,"InChI=1S/C26H28N2O2/c1-17(2)29-23-10-6-20(7-11-23)22-14-19(5)26-27-15-25(28(26)16-22)21-8-12-24(13-9-21)30-18(3)4/h6-18H
NULL,1-4H3"
NULL,1-4H3"
NULL,1-5H3"
2D+3D,25H
NULL,1-2H3"
NULL,1-3H3"
1,"InChI=1S/C25H26N2O2/c1-17(2)28-23-11-6-19(7-12-23)21-5-10-22-15-26-25(27(22)16-21)20-8-13-24(14-9-20)29-18(3)4/h5-18H
2D+3D,25H
1,"InChI=1S/C25H26N2O2/c1-17(2)28-22-9-5-19(6-10-22)21-13-14-27-16-26-25(24(27)15-21)20-7-11-23(12-8-20)29-18(3)4/h5-18H
4,6.800
4-difluoroanilino)-2-oxotricyclo[9.4.0.03,4.500
3(8),30
"13-(2-aminoanilino)-N-[2-(1H-imidazol-5-yl)ethyl]-2-oxotricyclo[9.4.0.03,34
4,28
"methyl (2S)-2-[[13-(2,6.600
8]pentadeca-1(11),4.300
3(8),35
4,6.200
4-difluoroanilino)-2-oxotricyclo[9.4.0.03,4.800
4-difluoroanilino)-2-oxotricyclo[9.4.0.03,3.500
3(8),30
"methyl (2S)-2-amino-6-[[13-(2,4.800
8]pentadeca-1(11),3.600
MQRSNVOLGSDHLC-DEOSSOPVSA-N,5.300
35)/t25-/m0/s1",37
8]pentadeca-1(11),6.300
C1CC2=C(C=CC(=C2)NC3=C(C=C(C=C3)F)F)C(=O)C4=C1C=CC(=C4)C(=O)NC(CCC(=O)O)C(=O)O,4.200
NAPZGEWSKZTVDS-NDEPHWFRSA-N,6.300
8]pentadeca-1(11),32
"13-(2-aminoanilino)-N-(1,2.500
8]pentadeca-1(11),6.300
8]pentadeca-1(11),6.800
8]pentadeca-1(11),4.200
8]pentadeca-1(11),6.600
8]pentadeca-1(11),6.700
3-dihydroxypropyl)-2-oxotricyclo[9.4.0.03,2.500
4,4.200
8]pentadeca-1(11),4.100
2D+3D,16-17H
6,643.000
3(8),35
"methyl (2S)-2-[[13-(2-aminoanilino)-2-oxotricyclo[9.4.0.03,36
"13-(2,7.000
8]pentadeca-1(11),12.400
4-difluoroanilino)-2-oxotricyclo[9.4.0.03,3.700
"3-[[13-(2-aminoanilino)-2-oxotricyclo[9.4.0.03,32
8]pentadeca-1(11),3.700
4-difluoroanilino)-2-oxotricyclo[9.4.0.03,5.400
4-difluoroanilino)-2-oxotricyclo[9.4.0.03,4.200
4-difluoroanilino)-2-oxo-N-(2,58.200
4-difluoroanilino)-N-[1,743.000
4-difluoroanilino)-N-[2-(1H-imidazol-5-yl)ethyl]-2-oxotricyclo[9.4.0.03,4.800
6,27
8]pentadeca-1(11),8.100
8]pentadeca-1(11),6.500
4-difluorophenyl)thio)-|hexadecylacrylate|Kinome_3767|NEFLAMAPIMOD [INN]|UNII-TYL52QM320|MLS006010281|NEFLAMAPIMOD [WHO-DD]|SCHEMBL156367|CHEMBL119385|GTPL5719|BDBM15244|cid_3038525|DTXSID90175115|EX-A854|BCPP000015|HMS3295M13|HMS3654L10|HMS3884M17|VD-31|BCP01837|AC-707|HB1309|MFCD09834070|NSC785334|s1458|AKOS005766014|AM84727|CCG-269082|CS-0195|DB07138|EX-8451|NSC-785334|SB19425|5-(2,4-difluorophenyl)thio]-6H-pyrimido[1
"methyl (2S)-2-amino-4-[[13-(2,4.000
8]pentadeca-1(11),35
8]pentadeca-1(11),4.900
8]pentadeca-1(11),33
35,36
3,14-hexaene-5-carboxamide"
C1CC2=C(C=CC(=C2)NC3=CC=CC=C3N)C(=O)C4=C1C=CC(=C4)C(=O)N[C@@H](CCC(=O)O)C(=O)O,36
MLWDUALROUIIHS-DEOSSOPVSA-N,2.200
"dimethyl (2S)-2-[[13-(2-aminoanilino)-2-oxotricyclo[9.4.0.03,38
4-difluoroanilino)-2-oxotricyclo[9.4.0.03,5.600
3(8),4.600
"(2S)-2-amino-3-[[13-(2,1.100
4,5.000
4,7.500
12,5.700
3(8),d]-cyclohepten-5-one|2-[(2
"tert-butyl 4-[2-[[13-(2-aminoanilino)-2-oxotricyclo[9.4.0.03,42
12,3.200
8]pentadeca-1(11),4.500
3(8),3.800
562.206,5
526.229,5
0,15-18
3-difluoro-1-(4-methylpiperazin-1-yl)-1,39
0,9-11
0,5
0,9-12
0,17-18
CC1=C(C=C(C=C1)C(=O)NC2=CC3=C(C=C2)C(CC3(F)F)N4CCN(CC4)C)C#CC5=CN=C(N=C5)NC6CC6,8
0,9-11
0,4
0,17-18
CC1=C(C=C(C=C1)C(=O)NC2=CC3=C(C=C2)C(CC3(F)F)N4CCN(CC4)C)C#CC5=CN=C(N=C5)NC6CC6,8
526.229,5
0,18-19
0,8-11
0,10
0,8-11
1,"InChI=1S/C26H28F3N7O/c1-33-11-13-34(14-12-33)18-20-5-6-21(15-23(20)26(27
0,8-9
11,2-b)pyridazin-3-yl)ethynyl)-4-methylbenzamido)-2-(trifluoromethyl)phenyl)methyl)-1-methylpiperazin-1-ium chloride|4-(4-(3-(imidazo(1
0,9-10
0,"InChI=1S/C27H30F3N7O/c1-34-12-14-35(15-13-34)19-21-7-8-22(16-24(21)27(28
0,"InChI=1S/C28H27N7/c1-20-5-7-23(17-22(20)8-9-24-18-29-27-4-3-11-30-35(24)27)28-31-25-10-6-21(16-26(25)32-28)19-34-14-12-33(2)13-15-34/h3-7
4S)-3-phenyl-1-(2,1
"2,12
5-difluoro-N-(6-fluoropyridin-2-yl)benzenesulfonamide",13
2-trifluoroethyl)piperidin-4-yl]oxybenzenesulfonamide",12
4S)-3-(3-methylsulfonylphenyl)-1-(2,14
2-trifluoroethyl)piperidin-4-yl]oxybenzenesulfonamide",11
5-difluoro-4-[(3S,35
"2,35
2,1
581.102,14
2-trifluoroethyl)piperidin-4-yl]oxy-N-(6-fluoropyridin-2-yl)benzenesulfonamide",13
4-difluorophenyl)-1-(2,40
5-difluoro-4-[(3S,12
2-trifluoroethyl)piperidin-4-yl]oxybenzenesulfonamide",12
4S)-3-phenyl-1-(2,12
2,1
4S)-3-phenyl-1-(2,11
4S)-3-phenyl-1-(2,12
4S)-3-phenyl-1-(2,12
2,14
4S)-3-(3,37
4S)-3-phenyl-1-(2,1
2-trifluoroethyl)piperidin-4-yl]oxy-5-fluoro-N-(6-fluoropyridin-2-yl)pyridine-3-sulfonamide",14
2-trifluoroethyl)piperidin-4-yl]oxy-N-(6-fluoropyridin-2-yl)benzenesulfonamide",13
2-trifluoroethyl)piperidin-4-yl]oxy-N-(6-fluoropyridin-2-yl)benzenesulfonamide",13
2,1
8.013,9~{s}
17-[(1RS)-butylidenebis(oxy)]-11?,17-(Butylidenebis(oxy))-11
6,8.013
18?,430.500
17-,CHEMBL1434334|SCHEMBL21570019|51333-22-3|AKOS037515709|NCGC00021318-03|NCGC00021318-04|NCGC00089747-02|NCGC00089747-03
8S,3)25(20
17-,SCHEMBL1888070|51333-22-3|BCP04134
1-3H3/t16-,17-dien-16-one"
9S,3)25(20
2R,3)25(20
2.500,12S
RFQDLTYXNINJON-OYNZBZHQSA-N,476.000
9S,919.000
KKOZUDNNMBYAGT-VDBPXOSVSA-N,1090.000
"[(1R,1150.000
9S,735.000
9S,634.000
9S,607.000
CO[C@H]1CC=C2CCN3[C@]2(C1)C4=C(CC3)C=CC(=C4)O, 1
8-didehydromorphinan-6-one|NP51|UPCMLD-DP085:001|BCBcMAP01_000195|KBio3_002127|DTXSID00871595|INYYVPJSBIVGPH-QHRIQVFBSA-N|BDBM224031|BCP20032|BDBM50241298|CCG-39100|NSC785175|s2359|AKOS000265568|AKOS015960539|AKOS016023715|AC-8025|NSC-785175|9-alpha,3
9S,1200.000
12R)-3-hydroxy-4,512.000
9S,731.000
10S)-3-hexadecanoyloxy-4,1250.000
"[(1R,824.000
"[(1R,1010.000
12R)-4,609.000
9S,923.000
14alpha)-|Sinomenine hydrochloride,7]heptadeca-2(7)
10S)-4,1190.000
WWMAXHOHCPTUSX-ULPIOCOXSA-N,901.000
C/C=C/C=C/C(=O)OC1=C(C=C(C2=C1[C@@]34CCN([C@@H](C2)[C@H]3C=C(C(=O)C4)OC)C)C=O)OC,C26H29NO6
13-11+/t23-,CHEMBL4855297
"[(1R,C25H31NO5
10S)-3-dodecanoyloxy-4,1120.000
12-dimethoxy-17-methyl-13-oxo-17-azatetracyclo[7.5.3.01,792.000
10S,818.000
10.02,846.000
IWZAOYOKARGABB-BTIYRLROSA-N,1540.000
10S,758.000
"[(1R,C25H29NO5
9S,888.000
9S,784.000
9S,950.000
10S)-4,842.000
10S,788.000
10S)-4,811.000
1,7-10
0,11-15H
0,9-14H
0,14H
1,17
606.183,7
0,"InChI=1S/C32H22F2N6O4/c33-26-8-6-18(11-27(26)34)16-40-10-2-5-23(32(40)44)30(42)38-20-4-1-3-19(12-20)29(41)37-21-7-9-28-24(13-21)25(31(43)39-28)14-22-15-35-17-36-22/h1-15
1,18H2
1,18
0,13H
0,13-16H
0,6
1,18-20
C1=CC=C(C=C1)C(COC2=CC3=C(C=C2)NC(=O)N3)NC(=O)C4=CC=CN(C4=O)CC5=CC(=C(C=C5)F)F,3-dihydro-1H-benzimidazol-5-yl)oxy]-1-phenylethyl}-1
1,31
C1CC(CCC1OC2=C(C(=CC=C2)Cl)F)(CC3=NC(=CC=C3)NC4=NC=CS4)C(=O)O,C22H21ClFN3O3S
4-difluorophenyl)methyl]-N-[4-[[(3Z)-3-(1H-imidazol-5-ylmethylidene)-2-oxo-1H-indol-5-yl]amino]-4-oxobutyl]-2-oxopyridine-3-carboxamide","InChI=1S/C29H24F2N6O4/c30-23-7-5-17(11-24(23)31)15-37-10-2-3-20(29(37)41)27(39)33-9-1-4-26(38)35-18-6-8-25-21(12-18)22(28(40)36-25)13-19-14-32-16-34-19/h2-3
